BeverageName,Category,ABV,Description
Hocus Pocus,1,4.5,"Our take on a classic summer ale.  A toast to weeds, rays, and summer haze.  A light, crisp ale for mowing lawns, hitting lazy fly balls, and communing with nature, Hocus Pocus is offered up as a summer sacrifice to clodless days.

Its malty sweetness finishes tart and crisp and is best apprediated with a wedge of orange."
Grimbergen Blonde,1,6.7,
Widdershins Barleywine,1,9.1,
Lucifer,1,8.5,
Bitter,1,4,
Winter Warmer,1,5.2,
Winter Welcome 2007-2008,1,6,
Oatmeal Stout,1,5,
Espresso Porter,1,0,
Chocolate Stout,1,0,
Hitachino Nest Real Ginger Brew,1,7,
JuJu Ginger,1,4,
The Kidd Lager,1,0,
Imperial Stout,1,7,
Oak-Aged Belgian Tripel,1,9,
Ultrablonde,1,8,
Wiesen Edel Weisse,1,6.2,
Old Foghorn 2001,1,10,
Framboise,1,6,
Cow Palace Scotch Ale 1998,1,8.7,
Bigfoot 2001,1,9.6,
Bigfoot 2002,1,9.6,
Bigfoot 2003,1,9.6,
Bigfoot 2004,1,9.6,
Bigfoot 2005,1,9.6,
Winter Ale,1,5.9,
Full Moon Winter Ale,1,5.6,This full-bodied ale is brewed with roasted malts and a hint of Dark Belgian sugar for a perfectly balanced taste.
Odell IPA,1,7,"We took the traditional IPA, originally shipped from England to India in the 1700's, and made it bolder and more flavorful - American Style. We've added new varieties of highly aromatic American hops to create a distinctive bitterness profile and an incredible hop character."
Ornery Amber Lager,1,0,Ornery Amber is brewed with a blend of the finest European hops and gently roasted malts.
Cutthroat Porter,1,4.8,"Not quite a stout but definitely no lightweight, Cutthroat Porter is smooth and robust. Inspired by the classic London porters, we use dark roasted malts to create a deep, rich color and flavor that hint at chocolate and coffee. We named it Cutthroat Porter as our tribute to the Colorado state fish - with its own rich heritage and unmistakable dark coloring. And while we're big fans of small batches, here's to the currently threatened Cutthroat population reaching mass quantities."
Maple Nut Brown Ale Ale,1,0,Maple syrup is added to each barrel of Maple Nut Brown Ale to impart roasted sweetness balancing the nut flavor produced by chocolate malts.
Cocoa Porter,1,0,
Jenlain Blonde,1,7.5,
Blonde,1,7.5,
Flemish Primitive Wild Ale (Demon Fish),1,9,
Witkap-Pater Tripel,1,7.5,
Winter Cheer,1,0,
Canaster Winter Scotch,1,8.7,
16,1,10,
Quelque Chose,1,8,"Quelque Chose was launched in January 1996. This versatile beer was specifically developed as a winter beer because, when warmed to 70ÂºC (160ÂºF), it can be taken as a hot drink. On the other hand, on the rocks, it is a wonderful aperitif. The cherries are soaked for months in slightly bitter ale before being blended into the beer. Quelque Chose is made with dark roasted malts, and the end result is something commonly known as an authentic nectar. The most original of the Unibroue line, it is highly appreciated by winter-sports enthusiasts."
Kriek,1,7,
BiÃ¨re Darbyste,1,0,
Maracaibo Especial,1,7.5,"A rich brown ale inspired by the enigmatic monastic brews of Belgium, and the mysterious mist shrouded jungles of the tropics. Brewed with real cacao, and spiced with cinnamon and sweet orange peel for a sensual delight. A brew to be sipped, savored, and enjoyed!"
Flemish Primitive Wild Ale (Pin Head),1,9,
Calabaza Blanca,1,4.8,"Aged in large oak casks and refermented in the bottle, Calabaza Blanca is a Belgian Biere Blanche. Spiced with orange peel and corriander, you'll find it refreshingly tart, with a wonderfully dry finish."
Porter,1,0,
Cardinal Pale Ale,1,0,
Zinnebir Xmas,1,6.6,
Bridal Ale 2005,1,0,
Zinnebir,1,0,
Saison Imperiale,1,8.5,
La Moneuse,1,8,
Red Sled Winter Ale,1,0,
Christmas Ale 2007,1,0,
Equinox Dark Belgian Winter,1,8,
Serafijn Christmas Angel,1,8,
Obovoid Empirical Stout,1,8,
